TYPE_NAME=QR_ReportKeyword;KEYS=Report,Keyword
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Исходящего документа' AND rt.name = 'outputPrintForm';output-printform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Исходящего документа' AND rt.name = 'outputPrintForm';outputprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Бланк "Приказа"' AND rt.name = 'ordBlankPrintForm';old_missionprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'ordPrintForm';old_missionprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК ОГ' AND rt.name = 'requests-printform';requestprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'addAgrPrintForm';addagrprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'dogDocPrintForm';dogdocprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'finDocPrintForm';findocprintform
"name=""Результат голосования""";bulletin
"name=""Результат голосования""";bulletinprintform
"name=""Результат голосования""";bulletin_default
"name=""Вопрос""";pointprintform
"name=""Выписка""";extractaffstampprintform
"name=""Выписка""";extract
"name=""Выписка""";extract_default
"name=""Повестка""";agenda
"name=""Повестка""";agendaprinrform
"name=""Повестка""";agenda_default
"name=""Протокол""";minutes
"name=""Протокол""";minutesprinrform
"name=""Протокол""";minutes_default
"name=""Проект решения""";decisionprojectprintform
"name=""Решение""";decisionprintform
"name=""Лист ознакомления""";reviewlistd
"name=""Лист ознакомления""";reviewlist
"name=""Лист согласования""";visalist
"name=""Сводный лист результатов согласования""";allvisalists
"name=""Лист согласования""";visalistd
"name=""Сводный лист результатов согласования""";allvisalistsd
"name=""Лист согласования по модулю Заседания""";visalistmeetings
"name=""Сводный лист результатов согласования по модулю Заседания""";allvisalistsmeetings
"name=""Печать результатов поиска""";print-search-result-view
"name=""Печатная форма поручения/резолюции""";taskprintform
"name=""РКК Внутреннего документа""";internprintform
"name=""РКК Внутреннего документа_резолюция первого уровня""";internprintform
"name=""РКК ОРД""";missions-printform
"name=""РКК ОРД""";missionprintform
"name=""Карточка Нерегистрируемого документа""";notregisteredprintform
"name=""Реестр передачи документов""";dtrprintform
"name=""Реестр исходящих документов, подлежащих отправке по Почте России (Экспедиция)""";expeditionordersprintform
"name=""Реестр исходящих документов, подлежащих отправке по Почте России посредством сервиса ЭЗП (Экспедиция)""";expeditionordersprintform
"name=""Штрихкод""";requestprintform
"name=""Штрихкод с доп. реквизитами""";requestprintform
"name=""РКК ОРД_поручение первого уровня""";missions-printform
"name=""РКК ОРД_поручение первого уровня""";missionprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Входящего документа' AND rt.name = 'inputPrintForm';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Исходящего документа' AND rt.name = 'outputPrintForm';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК ОГ' AND rt.name = 'requests-printform';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Договора' AND rt.name = 'contracts-printform';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'addAgrPrintForm';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'dogDocPrintForm';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'finDocPrintForm';toarchive
"name=""РКК Внутреннего документа""";toarchive
"name=""РКК Внутреннего документа_резолюция первого уровня""";toarchive
"name=""РКК ОРД""";toarchive
"name=""РКК ОРД_поручение первого уровня""";toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Сводный лист результатов согласования' AND rt.name = 'apr-all-list';toarchive
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Лист согласования' AND rt.name = 'apr-list';visatoarchive
"name=""Заказ на исполнение""";joborders-printform
"name=""Заказ на исполнение""";jobordersprintform
