report-exec-incoming-correspondence;Отчет по корреспонденту и направлению на исполнение входящей корреспонденции;jasper;table
missions-printform;РКК ОРД;docx;printform
outputPrintForm;РКК Исходящего документа;jasper;table
ninput-printform;Карточка Нерегистрируемого документа;docx;printform
dtrPrintForm;Реестр передачи документов;jasper;table
expedition-output-register-for-send-pochta-ru;Реестр исходящих документов, подлежащих отправке по Почте России (Экспедиция);jasper;table
expedition-output-register-for-send-zakaznoe-pochta-ru;Реестр исходящих документов, подлежащих отправке по Почте России посредством сервиса ЭЗП (Экспедиция);jasper;table
missions-printform-one-level;РКК ОРД_поручение первого уровня;docx;printform
(ResolutionInfo);Атрибуты резолюции;jasper;table
joborders-printform;РКК Заказ на исполнение;jasper
